Repository,Items,Published Version,Accepted Version,Submitted Version,Null
eprints.keele.ac.uk,1,1,0,0,0
lra.le.ac.uk,1,1,0,0,0
research-information.bris.ac.uk,1,1,0,0,0
www.repo.uni-hannover.de,1,1,0,0,0
