DOI,Evidence,Licence,OA Status,Title,Authors,Author count,Author count>20,WoS/Scopus Authors,Local author count from WoS/Scopus,Local authors,Corresponding author,Local reprint authors,Local reprint author address,Corresponding author is local,Journal,Year,Publisher,Is OA,Genre,OA Journal,Version,Host of best version,Green version available,Repositories,Number of repositories,In local repository,In DOAJ,ISSNs,Archive accepted manuscript,Archive published version,Sherpa/Romeo colour,Sherpa/Romeo Licence,Crossref citations,Free text url,In WoS,APC charged in DOAJ,DOAJ Currency,DOAJ APC,Publisher Currency,Publisher APC,USD APC,Altmetric,Media stories,Policy documents,Tweets,Altmetric link,Funders,Crossref funders,Subjects
10.1371/journal.pone.0209600,open (via page says license),cc-by,gold,Assignment of a dubious gene cluster to melanin biosynthesis in the tomato fungal pathogen Cladosporium fulvum,"Griffiths, Scott A.; Cox, Russell J.; Overdijk, Elysa J. R.; Mesarich, Carl H.; Saccomanno, Benedetta; Lazarus, Colin M.; de Wit, Pierre J. G. M.; Collemare, Jérôme; Wilson, Richard A.",9,No,"[Griffiths, Scott A.; Collemare, Jerome] Westerdijk Fungal Biodivers Inst, Fungal Nat Prod, Utrecht, Netherlands; [Griffiths, Scott A.; Overdijk, Elysa J. R.; Mesarich, Carl H.; Saccomanno, Benedetta; de Wit, Pierre J. G. M.; Collemare, Jerome] Wageningen Univ, Lab Phytopathol, Wageningen, Netherlands; [Cox, Russell J.] Leibniz Univ Hannover, Inst Organ Chem, Hannover, Germany; [Overdijk, Elysa J. R.] Wageningen Univ, Cell Biol Lab, Wageningen, Netherlands; [Lazarus, Colin M.] Univ Bristol, Sch Biol Sci, Bristol, Avon, England; [Mesarich, Carl H.] Massey Univ, Inst Agr & Environm, Lab Mol Plant Pathol, Palmerston North, New Zealand Griffiths, S.A., Fungal Natural Products, Westerdijk Fungal Biodiversity Institute, CT, Utrecht, Netherlands, Laboratory of Phytopathology, Wageningen University, Wageningen, Netherlands; Cox, R.J., Institut für Organische Chemie, Leibniz Universität Hannover, Hannover, Germany; Overdijk, E.J.R., Laboratory of Phytopathology, Wageningen University, Wageningen, Netherlands, Laboratory of Cell Biology, Wageningen University, Wageningen, Netherlands; Mesarich, C.H., Laboratory of Phytopathology, Wageningen University, Wageningen, Netherlands, Laboratory of Molecular Plant Pathology, Institute of Agriculture and Environment, Massey University, Palmerston North, New Zealand; Saccomanno, B., Laboratory of Phytopathology, Wageningen University, Wageningen, Netherlands; Lazarus, C.M., School of Biological Sciences, University of Bristol, Bristol, United Kingdom; de Wit, P.J.G.M., Laboratory of Phytopathology, Wageningen University, Wageningen, Netherlands; Collemare, J., Fungal Natural Products, Westerdijk Fungal Biodiversity Institute, CT, Utrecht, Netherlands, Laboratory of Phytopathology, Wageningen University, Wageningen, Netherlands",1,"Mesarich, Carl H.","Collemare, J (reprint author), Westerdijk Fungal Biodivers Inst, Fungal Nat Prod, Utrecht, Netherlands.; Collemare, J (reprint author), Wageningen Univ, Lab Phytopathol, Wageningen, Netherlands.",,,No,PLOS ONE,2018,Public Library of Science (PLoS),true,journal-article,true,publishedVersion,publisher,Yes,research-information.bris.ac.uk www.repo.uni-hannover.de ,2,No,TRUE,1932-6203 ,can,can,green,CC-BY,6,https://doi.org/10.1371/journal.pone.0209600,Yes,Yes,USD,1495,,,1495,0,0,0,0,,,,Science & Technology - Other Topics
10.1371/journal.pone.0197648,oa journal (via doaj),cc-by,gold,"Knowledge, attitudes and awareness of the human papillomavirus among health professionals in New Zealand","Sherman, Susan M.; Bartholomew, Karen; Denison, Hayley J.; Patel, Hersha; Moss, Esther L.; Douwes, Jeroen; Bromhead, Collette; Borrow, Ray",8,No,"[Sherman, Susan M.] Keele Univ, Sch Psychol, Keele, Staffs, England; [Bartholomew, Karen] Waitemata Dist Hlth Board DHB, Auckland, New Zealand; [Bartholomew, Karen] Auckland DHB, Auckland, New Zealand; [Denison, Hayley J.; Douwes, Jeroen] Massey Univ, Ctr Publ Hlth Res, Wellington, New Zealand; [Patel, Hersha; Moss, Esther L.] Univ Hosp Leicester, Dept Gynaecol, Leicester, Leics, England; [Moss, Esther L.] Univ Leicester, Leicester Canc Res Ctr, Leicester, Leics, England; [Bromhead, Collette] Massey Univ, Sch Hlth Sci, Wellington, New Zealand Sherman, S.M., School of Psychology, Keele University, Keele, Staffs, United Kingdom; Bartholomew, K., Waitemata District Health Board (DHB) and Auckland DHB, Auckland, New Zealand; Denison, H.J., Centre for Public Health Research, Massey University, Wellington, New Zealand; Patel, H., Department of Gynaecology, University Hospitals Leicester, Leicester, United Kingdom; Moss, E.L., Department of Gynaecology, University Hospitals Leicester, Leicester, United Kingdom, Leicester Cancer Research Centre, University of Leicester, United Kingdom; Douwes, J., Centre for Public Health Research, Massey University, Wellington, New Zealand; Bromhead, C., Massey University, School of Health Sciences, Wellington, New Zealand",2,"Denison, Hayley J.; Douwes, Jeroen","Bromhead, C (reprint author), Massey Univ, Sch Hlth Sci, Wellington, New Zealand.","Bromhead, C","Massey Univ, Sch Hlth Sci, Wellington, New Zealand.",Yes,PLOS ONE,2018,Public Library of Science (PLoS),true,journal-article,true,publishedVersion,publisher,Yes,lra.le.ac.uk eprints.keele.ac.uk ,2,No,TRUE,1932-6203 ,can,can,green,CC-BY,4,https://doi.org/10.1371/journal.pone.0197648,Yes,Yes,USD,1495,,,1495,35.6,4,0,13,http://www.altmetric.com/details.php?citation_id=53324389,,,Science & Technology - Other Topics
10.3390/jimaging4120138,open (via page says license),cc-by,diamond,Border Handling for 2D Transpose Filter Structures on an FPGA,"Bailey, Donald; Ambikumar, Anoop",2,No,"[Bailey, Donald G.; Ambikumar, Anoop S.] Massey Univ, Sch Engn & Adv Technol, Palmerston North 4442, New Zealand Bailey, D.G., School of Engineering and Advanced Technology, Massey University, Palmerston North, 4442, New Zealand; Ambikumar, A.S., School of Engineering and Advanced Technology, Massey University, Palmerston North, 4442, New Zealand",2,"Bailey, Donald G.; Ambikumar, Anoop S.","Bailey, DG (reprint author), Massey Univ, Sch Engn & Adv Technol, Palmerston North 4442, New Zealand.","Bailey, DG","Massey Univ, Sch Engn & Adv Technol, Palmerston North 4442, New Zealand.",Yes,Journal of Imaging,2018,MDPI AG,true,journal-article,true,publishedVersion,publisher,Yes,,0,No,TRUE,2313-433X ,can,can,green,CC-BY,1,https://doi.org/10.3390/jimaging4120138,Yes,No,,,,,0,0,0,0,0,,,,Imaging Science & Photographic Technology
10.1016/j.anireprosci.2018.10.005,"open (via crossref license, author manuscript)",elsevier-specific: oa user license,hybrid,Variance component estimates for post-thaw sperm variables measured by computer assisted semen analyzer for inbred and non-inbred Hereford bulls,"Tseveenjav, B.; Blackburn, H.D.; Garrick, D.J",3,No,"[Tseveenjav, B.; Garrick, D. J.] Colorado State Univ, Dept Anim Sci, Ctr Genet Evaluat Livestock, Ft Collins, CO 80523 USA; [Blackburn, H. D.] USDA ARS, Natl Anim Germplastn Program, Ft Collins, CO 80523 USA; [Garrick, D. J.] Massey Univ, Inst Agr & Environm, Palmerston North, New Zealand ",1,"Garrick, D. J.","Tseveenjav, B (reprint author), Genesis Labs Inc, POB 1195, Wellington, CO 80549 USA.",,,No,Animal Reproduction Science,2018,Elsevier BV,true,journal-article,false,acceptedVersion,publisher,No,,0,No,false,0378-4320 ,12 months embargo,cannot,green,CC-BY-NC-ND,0,https://manuscript.elsevier.com/S0378432018306791/pdf/S0378432018306791.pdf,Yes,,,,USD,2500,2500,0,0,0,0,,,National Animal Germplasm Program USDA-ARS,Agriculture; Reproductive Biology
