Department,closed,gold,diamond,bronze,green,hybrid,Total,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
"Laboratory of Phytopathology, Wageningen University, Wageningen, Netherlands, Laboratory of Molecular Plant Pathology, Institute of Agriculture and Environment, Massey University",0,1,0,0,0,0,1,100,0,0,100
"Massey Univ, Ctr Publ Hlth Res",0,1,0,0,0,0,1,100,0,0,100
"Massey Univ, Inst Agr & Environm",0,1,0,0,0,1,2,100,0,0,100
"Massey Univ, Sch Engn & Adv Technol",0,0,1,0,0,0,1,100,0,0,100
"Massey Univ, Sch Hlth Sci",0,1,0,0,0,0,1,100,0,0,100
Massey University,0,1,0,0,0,0,1,100,0,0,100
"School of Engineering and Advanced Technology, Massey University",0,0,1,0,0,0,1,100,0,0,100
